客户编号,套餐品牌,信用等级,是否使用4GUSIM卡,是否4G资费,网龄,当月ARPU,当月MOU,当月DOU,终端使用时间（月）,当月省内漫游时长,当月省际漫游时长,营销是否成功
8551,2,5,0,0,162,159.65,1077,2392,30,391,83,1
2434,2,5,1,1,183,159.61,1149,990723,2,0,0,0
8855,2,5,1,0,167,159.61,1112,48598,29,0,37,0
14973,2,5,0,0,161,159.6,1129,0,22,5,0,0
2606,2,5,0,1,182,159.59,1209,70070,18,109,0,0
2778,2,5,1,1,181,159.56,1031,563070,10,31,213,0
496,2,5,1,1,203,159.53,1412,200732,1,0,0,0
13223,2,5,1,1,205,159.51,1029,1096132,4,66,64,0
1254,2,5,1,1,197,159.49,1412,308839,8,5,15,1
17028,2,5,1,0,162,159.48,1158,52120,8,16,11,0
4373,2,5,1,1,165,159.47,1355,738283,3,4,410,0
10589,2,5,1,1,177,159.47,1496,125154,0,22,0,0
17844,3,5,1,0,165,159.47,1443,46263,6,0,0,0
13530,2,5,0,0,190,159.46,1050,273068,31,0,0,1
12483,2,5,1,0,207,159.45,2401,0,24,76,0,0
17088,2,5,0,0,160,159.44,601,48538,3,0,0,0
19981,3,5,1,1,194,159.42,765,414286,32,0,0,1
10292,2,5,1,0,146,159.41,1315,205483,23,7,1235,0
10602,2,5,1,1,176,159.41,483,310769,10,0,483,0
1036,2,5,1,1,207,159.39,4021,253454,8,0,0,1
17337,3,5,0,0,215,159.33,504,4206,16,12,0,0
1296,2,5,1,1,196,159.3,1957,419,8,4,0,0
2269,2,5,0,1,185,159.28,2197,720728,20,61,0,0
3760,2,5,1,1,182,159.27,1554,257339,1,0,0,0
2652,2,5,0,1,183,159.26,1713,629473,4,63,0,0
3644,2,5,1,1,173,159.26,904,90287,16,3,280,1
1389,2,5,0,1,194,159.25,2288,188399,11,0,0,1
8488,2,5,1,1,160,159.21,1328,324759,6,0,0,1
2404,2,5,1,1,184,159.19,2239,373472,12,69,58,1
5204,2,5,0,1,159,159.19,394,212625,21,0,394,1
2044,2,5,1,1,189,159.18,1845,88533,3,0,0,0
